,title,price,address,township,car_boxes,rooms,bathroms,squareM,description
22,"renta de departamento en contadero, cuajimalpa de morelos id: 56206",19000.0,"vasco de quiroga contadero, cuajimalpa de morelos",cuajimalpa,1.0,2.0,2.0,120.0, arr id hm 56206 maravilloso departamento en renta con una superficie de 120 m2 y una antigüedad de 19 años ubicado en el corazon de santa fe en la col contadero alcaldia cuajimalpa de morelos a tan solo unos pasos del centro comercial santa fe y a 5 minutos del parque la mexicana el hospital abc santa fe y la universidad iberoamericana ideal para una pareja o familia que quiera disfrutar de los agradables espacios y amenidades que este departamento ofrece como gimnasio terraza con asador salon de eventos areas verdes con asadores seguridad 24 horas doble acceso por vasco de quiroga y carretera mexico toluca estacionamiento 1 lugar de estacionamiento independiente comienza una nueva etapa con houm facil rapido y seguro arr id hm 56206 
23,departamento en renta  parques plaza,17000.0,"mexico, 11520, miguel hidalgo, avenida lago alberto anahuac i seccion, miguel hidalgo",miguel hidalgo,1.0,1.0,1.0,55.0, excelente ubicacion 55m2 1 recamara 1 baño sala comedor con balcon cocina abierta 1 estacionamiento independiente gym salon de fiestas jardin con juegos infantiles ludoteca 
24,bonito departamento en renta en vita polanco,20000.0,"blvd. miguel de cerventes saavedra 171 ampliacion granada, miguel hidalgo",miguel hidalgo,2.0,2.0,2.0,90.0, bonito departamento muy bien ubicado en granada muy cerca de polanco centros comerciales escuelas bancos etc esta ubicado en el quinto piso cuenta con sala comedor corridos y amplios con balcon cocina abierta equipada con barra area de lavado dos baños completos dos recamaras la principal con baño y vestidor dos lugares de estacionamiento el departamento cuenta con pisos de loseta y persianas el edificio tiene lobby elevadores salon de eventos juegos para niños asadores gimnasio carril de nado acceso controlado y vigilancia las 24hrs 
25,increible oportunidad en polanco ,28000.0,"shiller no. 238 polanco, miguel hidalgo",miguel hidalgo,1.0,3.0,2.0,120.0, amplio departamento en renta ubicado en calle shiller cuenta con elevador al departamento con recibidor 3 recanaras la principal con baño y vestidor 2 baños sala comedor con balcon exterior cocina equipada opcion a retirar algun mueble 
26,departamento nuevo en santa fe,21500.0,"carretera mexico-toluca 5392 santa fe cuajimalpa, cuajimalpa de morelos",cuajimalpa,2.0,2.0,2.0,100.0, departamento de 100 m2 con dos recamaras 2 baños y 2 cajones de estacionamiento opcion de renta semiamueblado excelente ubicacion con acceso y salida a santa fe 
28,"moderno departamento para estrenar, calle colina 16 ampliacion las aguilas. ",16000.0,"colina 16 ampliacion las aguilas, alvaro obregon",alvaro obregon,2.0,2.0,2.0,92.0, departamento de 92 m2 para estrenar en renta o venta 3 800 000 estancia comedor cocina integral abierta con barra de granito y ventilacion natural amplia despensa con instalacion para centro de lavado y lavadero dos recamaras la principal con baño completo y closet vestidor la segunda con closet empotrado y baño completo que comparte con la estancia dos lugares de estacionamiento con eleva autos lugares para visitas y bodega vigilancia 24 7 y conserje 
29,"departamento en venta y renta amueblado en arquimedes, miguel hidalgo",29000.0,"polanco, miguel hidalgo",miguel hidalgo,2.0,2.0,1.0,85.0, departamento en venta ubicado a unos pasos de la av principal ejercito nacional rodeado de todas tus necesidades basicas este departamento cuenta con 85 7 m2 2 recamaras terraza con balcon y una hermosa vista panoramica que tambien se comunica con la otra recamara 2 cajones de estacionamiento fijos elevador area de lavado 1 baño completo el edificio cuenta con vigilancia las 24 hrs y valet parking para toda tu comodidad el edificio tiene 15 años de construido tiene 11 pisos con 26 departamentos en total amenities pequeño gimnasio salon de eventos multiples visitalo hoy mismo costo del departamento 5 950 000 renta y mantenimiento 29 000 el impuesto que corresponda amueblado el departamento se vende sin muebles mantenimiento mensual de 3 190 00 easybroker id eb fq0435 
30,departamento de 2 recamaras en santa fe,22500.0,"santa fe cuajimalpa, cuajimalpa de morelos",cuajimalpa,2.0,2.0,2.0,92.0, departamento en we santa fe metros habitables 91 38 dos recamaras amplios closets en ambas excelente vista a vista hermosa dos estacionamientos piso 14 ideal para pareja estudiantes solteros excelente ubicacion entrada inmediata a santa fe y carretera mexico toluca cuota fija de luz y agua hasta que se individualice acceso inmediato a santa fe bosques vista hermosa amenidades sky lounge terraza cafeteria gym alberca salon de yoga jardin jice bar ludoteca salon de eventos spa vapor salon de belleza business center proximamente roof top easybroker id eb iz0160 
31,plaza carso: departamento de 2 recamaras y family room,29000.0,"ferrocarril de cuernavaca 779 polanco, miguel hidalgo",miguel hidalgo,2.0,2.0,3.0,113.0, precioso departamento en torre van gogh de plaza carso acabados muy bonitos de alta calidad 113 m2 2 recamaras con baño completo una con vestidor y la otra con armario baño de visitas grande y linda cocina abierta area de lavado family room enormes cristaleras en todas las estancias que le dan mucha luz espacios muy amplios 2 cajones de estacionamiento completo conjunto de amenidades vigilancia 24 horas estacionamiento para visitas mantenimiento incluido en la renta ubicacion perfecta con todos los servicios alrededor la orientacion y las vistas pueden variar 
32,"renta departamento amueblado, ",35000.0,"schiller polanco, miguel hidalgo",miguel hidalgo,1.0,2.0,1.0,90.0, exelente departamento amueblado con acabados modernos de muy buena calidad e iluminado extraordinaria ubicacion a una cuadra de supermercados y tiendas departmentales bancos restaurantes etc seguridad las 24 hrs edificio conservador impecable roof garden la renta del departamento incluye mantenimiento 
